a52dec 0.8.0-2
accountsservice 23.13.9-1
acl 2.3.1-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 44.0-1
adwaita-icon-theme 44.0-1
alsa-card-profiles 1:0.3.71-2
alsa-lib 1.2.9-1
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.9-1
alsa-ucm-conf-asahi 1-1
aom 3.6.1-1
appstream 0.16.2-1
appstream-qt 0.16.2-1
archlinux-keyring 20230504-1
archlinuxarm-keyring 20140119-2
argon2 20190702-5
aribb24 1.0.3-3
asahi-configs 20230313-2
asahi-fwextract 0.5.4-1
asahi-meta 4-1
asahi-scripts 20230606-1
asahilinux-keyring 20220225-1
at-spi2-core 2.48.3-1
atkmm 2.28.3-1
attica 5.107.0-1
attr 2.5.1-3
audit 3.1.1-1
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r22+gfd482a7-1
base 3-1
base-devel 1-1
bash 5.1.016-4
bat 0.23.0-3
bc 1.07.1-4
bibata-cursor-theme 2.0.3-1
binutils 2.38-5.1
binutils-debug 2.38-5.1
bison 3.8.2-5
blas 3.11.0-2
blueberry 1.4.8-1
blueman 2.3.5-2
bluez 5.66-1
bluez-libs 5.66-1
bluez-tools 0.2.0-5
bluez-utils 5.66-1
bolt 0.9.5-1
boost-libs 1.81.0-6
breeze 5.27.6-1
breeze-icons 5.107.0-1
bridge-utils 1.7.1-1
brightnessctl 0.5.1-2
brotli 1.0.9-12
browserpass 3.1.0-1
browserpass-chromium 3.7.2-2
btop 1.2.13-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.19.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.90-1
ca-certificates-utils 20220905-1
cairo 1.17.8-2
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
capstone 4.0.2-7
cargo-audit 0.17.6-1
catch2 2.13.9-1
cbindgen 0.24.6-1
cblas 3.11.0-2
cdparanoia 10.2-8
chromium 114.0.5735.198-1
chrono-date 3.0.1-3
cifs-utils 7.0-3
clang 15.0.7-9
cmake 3.26.4-1
colord 1.4.6-1
colord-gtk-common 0.3.0-2
colord-gtk4 0.3.0-2
compiler-rt 15.0.7-2
containerd 1.7.2-1
coreutils 9.3-1
cracklib 2.9.11-1
cronie 1.6.1-1
cryptsetup 2.6.1-3
cups-pk-helper 0.2.7-1
curl 8.1.2-1
cxxbridge 1.0.97-1
dav1d 1.2.1-1
db 6.2.32-1
db5.3 5.3.28-2
dbus 1.14.8-1
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.21-1
dhcpcd 10.0.1-1
dialog 1:1.3_20230209-1
diffutils 3.10-1
djvulibre 3.5.28-5
dnssec-anchors 20190629-3
docker 1:24.0.2-1
double-conversion 3.3.0-1
dtc 1.7.0-4
duf 0.8.1-2
duktape 2.7.0-6
dunst 1.9.2-1
e2fsprogs 1.47.0-1
editorconfig-core-c 0.12.6-1
ell 0.57-1
enchant 2.3.4-1
eog 44.2-1
evince 44.2-1
eww-wayland 0.4.0-1
exempi 2.6.3-2
exiv2 0.28.0-2
exo 4.18.0-1
expat 2.5.0-1
extra-cmake-modules 5.107.0-1
faad2 2.10.1-1
fakeroot 1.31-2
fcft 3.1.5-2
fcitx5 5.0.23-2
fcitx5-chewing 5.0.14-1
fcitx5-configtool 5.0.17-1
fcitx5-gtk 5.0.23-1
fcitx5-qt 5.0.17-6
fd 8.7.0-1
ffmpeg 2:6.0-8
ffmpeg4.4 4.4.4-1
fftw 3.3.10-4
file 5.44-3
file-roller 43.0-2
filesystem 2023.01.31-1
findutils 4.9.0-3
firefox 114.0.2-1
flac 1.4.3-1
flex 2.6.4-5
fmt 9.1.0-4
fontconfig 2:2.14.2-1
foot 1.14.0-1
frameworkintegration 5.107.0-1
freetype2 2.13.1-1
fribidi 1.0.13-2
fuse-common 3.14.1-1
fuse3 3.14.1-1
fzf 0.42.0-1
gawk 5.2.2-1
gc 8.2.4-1
gcc 12.1.0-2.1
gcc-libs 12.1.0-2.1
gcr 3.41.1-4
gcr-4 4.1.0-1
gdb-common 13.1-3
gdb-dashboard-git 0.17.2.406.c6b3772-1
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
geoclue 2.7.0-1
geocode-glib-2 3.26.4-3
geocode-glib-common 3.26.4-3
gettext 0.21.1-5
ghostscript 10.01.2-1
giflib 5.2.1-2
git 2.41.0-1
gjs 2:1.76.2-1
glib-networking 1:2.76.0-2
glib2 2.76.3-1
glibc 2.35-5.1
glibmm 2.66.6-1
glslang 12.2.0-1
gmp 6.2.1-2
gn 0.2088.5a004f94-1
gnome-autoar 0.4.4-1
gnome-bluetooth 3.34.5-4
gnome-bluetooth-3.0 42.5-1
gnome-color-manager 3.36.0+r42+g90481514-1
gnome-desktop 1:44.0-1
gnome-desktop-4 1:44.0-1
gnome-desktop-common 1:44.0-1
gnome-online-accounts 3.48.0-2
gnome-session 44.0-1
gnome-settings-daemon 44.1-1
gnome-shell 1:44.2-1
gnu-free-fonts 20120503-8
gnupg 2.2.41-1
gnutls 3.8.0-1.1
gobject-introspection 1.76.1-3
gobject-introspection-runtime 1.76.1-3
gperf 3.1-4
gperftools 2.10-3
gpgme 1.20.0-3
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-3
grep 3.11-1
grim 1.4.1-1
groff 1.22.4-10
grub 2:2.06.r566.g857af0e17-1
gsettings-desktop-schemas 44.0-1
gsfonts 20200910-3
gsm 1.0.22-1
gsound 1.0.3-3
gspell 1.12.1-1
gssdp 1.6.2-1
gst-plugins-bad-libs 1.22.4-1
gst-plugins-base 1.22.4-1
gst-plugins-base-libs 1.22.4-1
gstreamer 1.22.4-1
gtk-layer-shell 0.8.1-1
gtk-update-icon-cache 1:4.10.4-1
gtk3 1:3.24.38-1
gtk4 1:4.10.4-1
gtkmm3 3.24.7-1
guile 3.0.9-1
gupnp 1:1.6.3-1
gupnp-igd 1.6.0-1
gvfs 1.50.4-3
gzip 1.12-2
harfbuzz 7.3.0-1
harfbuzz-icu 7.3.0-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-1
highway 1.0.4-1
http-parser 2.9.4-1
hwdata 0.371-1
hwloc 2.9.1-1
hyphen 2.8.8-5
hyprland 0.26.0-3
iana-etc 20230524-1
icu 72.1-2
ijs 0.35-5
imagemagick 7.1.1.12-1
imath 3.1.9-1
iniparser 4.1-4
iproute2 6.4.0-1
iptables 1:1.8.9-1
iputils 20221126-2
iso-codes 4.15.0-1
iwd 2.6-1
jansson 2.14-2
java-runtime-common 3-5
jbig2dec 0.19-1
jq 1.6-4
jre-openjdk-headless 20.0.1.u9-3.1
js102 102.4.0-1
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
kactivities 5.107.0-1
kactivities-stats 5.107.0-1
kactivitymanagerd 5.27.6-1
karchive 5.107.0-1
kauth 5.107.0-1
kbd 2.6.0-1
kbookmarks 5.107.0-1
kcmutils 5.107.0-1
kcodecs 5.107.0-1
kcompletion 5.107.0-1
kconfig 5.107.0-1
kconfigwidgets 5.107.0-1
kcoreaddons 5.107.0-1
kcrash 5.107.0-1
kdbusaddons 5.107.0-1
kde-cli-tools 5.27.6-1
kdeclarative 5.107.0-1
kdecoration 5.27.6-1
kded 5.107.0-1
kdesu 5.107.0-1
kdnssd 5.107.0-1
kdsoap 2.1.1-1
kdsoap-ws-discovery-client git20200927-2
keyutils 1.6.3-2
kglobalaccel 5.107.0-1
kguiaddons 5.107.0-1
kholidays 1:5.107.0-1
ki18n 5.107.0-1
kiconthemes 5.107.0-1
kidletime 5.107.0-1
kio 5.107.0-2
kio-extras 23.04.2-1
kio-fuse 5.0.1-1
kirigami2 5.107.0-1
kitemmodels 5.107.0-1
kitemviews 5.107.0-1
kitty 0.28.1-2
kitty-shell-integration 0.28.1-2
kitty-terminfo 0.28.1-2
kjobwidgets 5.107.0-1
kmod 30-3
knewstuff 5.107.0-1
knotifications 5.107.0-1
knotifyconfig 5.107.0-1
kora-icon-theme 1.5.7-1
kpackage 5.107.0-1
kparts 5.107.0-1
kpeople 5.107.0-1
kpipewire 5.27.6-1
kpty 5.107.0-1
kquickcharts 5.107.0-1
krb5 1.20.1-1
krunner 5.107.0-1
kscreenlocker 5.27.6-1
kservice 5.107.0-1
ksystemstats 5.27.6-1
ktexteditor 5.107.0-1
ktextwidgets 5.107.0-1
kuserfeedback 1.2.0-1
kwallet 5.107.0-1
kwayland 5.107.0-1
kwidgetsaddons 5.107.0-1
kwin 5.27.6-1
kwindowsystem 5.107.0-1
kxmlgui 5.107.0-1
l-smash 2.14.5-3
lame 3.100-4
lapack 3.11.0-2
layer-shell-qt 5.27.6-1
lazygit 0.38.2-1
lcms2 2.15-1
ldb 2:2.7.2-2
ldns 1.8.3-2
less 1:633-1
libadwaita 1:1.3.3-1
libaio 0.3.113-2
libappindicator-gtk3 12.10.0.r298-2
libarchive 3.6.2-2
libass 0.17.1-1
libassuan 2.5.5-2
libasyncns 1:0.8+r3+g68cd5af-2
libatasmart 0.19-6
libavc1394 0.5.4-6
libavif 0.11.1-1
libb2 0.98.1-2
libblockdev 2.28-4
libbluray 1.3.4-1
libbpf 1.2.0-1
libbs2b 3.1.0-8
libbsd 0.11.7-1
libbytesize 2.8-2
libcamera 0.0.5-1
libcamera-ipa 0.0.5-1
libcanberra 1:0.30+r2+gc0620e4-3
libcap 2.69-1
libcap-ng 0.8.3-2
libcdio 2.1.0-3
libcdio-paranoia 10.2+2.0.1-3
libchewing 0.5.1-4
libcloudproviders 0.3.1+r8+g3a229ee-1
libcolord 1.4.6-1
libcups 1:2.4.6-1
libcurl-gnutls 8.1.2-1
libdaemon 0.14-5
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-1
libdbusmenu-gtk3 16.04.0.r498-1
libdbusmenu-qt5 0.9.3+16.04.20160218-6
libdca 0.0.7-2
libdisplay-info 0.1.1-3
libdmtx 0.7.7-1
libdrm 2.4.115-1
libdvbpsi 1:1.3.3-2
libebml 1.4.4-1
libedit 20221030_3.1-1
libelf 0.189-1
libepoxy 1.5.10-2
libevdev 1.13.1-1
libevent 2.1.12-4
libexif 0.6.24-2
libfdk-aac 2.0.2-1
libffi 3.4.4-1
libfontenc 1.1.7-1
libfreeaptx 0.1.1-1
libgcrypt 1.10.2-1
libgdm 44.1-1
libgee 0.20.6-1
libgirepository 1.76.1-3
